Sheet_ID	Sheet_Label	FOODON_ID	FOODON_Label	Mapping_Type	Curation Notes	created	contributor	see_also	exact_syn	broad_syn	narrow_syn	database_cross_reference	comment	editor_note	imported_from	definition_source	image	image_rights_holder	image_license
FOODON:00004242-cow	beef food product	FOODON:00001041	beef food product	Exact String Match															
FOODON:00004242-avian	avian food product	FOODON:00001251	avian food product	Exact String Match															
FOODON:00004242-poultry	poultry food product	FOODON:00001283	poultry food product	Exact String Match			https://orcid.org/0000-0002-8844-9165									https://en.wikipedia.org/wiki/Poultry			
FOODON:00001567-animal	animal primal cut	FOODON:00001567	animal primal cut	Exact String Match		2023-08-01T21:25:29Z	https://orcid.org/0000-0002-0129-6822	https://inspection.canada.ca/food-labels/labelling/industry/meat-and-poultry-products/wholesale-meat/eng/1420220732302/1420220804732	primal cut							https://en.wikipedia.org/wiki/Primal_cut			
FOODON:00004242-lobster	lobster food product	FOODON:00002007	lobster food product	Exact String Match															
FOODON:00004242-mussel	mussel food product	FOODON:00002051	mussel food product	Exact String Match															
FOODON:00004242-scallop	scallop food product	FOODON:00002227	scallop food product	Exact String Match															
FOODON:00004242-shrimp	shrimp food product	FOODON:00002239	shrimp food product	Exact String Match															
FOODON:00004242-elk	elk food product	FOODON:00002438	elk food product	Exact String Match															
FOODON:00004242-frog	frog food product	FOODON:00002443	frog food product	Exact String Match															
FOODON:00004242-donkey	donkey food product	FOODON:00002446	donkey food product	Exact String Match															
FOODON:00004242-zebra	zebra food product	FOODON:00002449	zebra food product	Exact String Match															
FOODON:02010013-sheep	sheep milk (raw)	FOODON:00002474	sheep milk (raw)	Exact String Match			https://orcid.org/0000-0002-8844-9165									https://en.wikipedia.org/wiki/Sheep_milk			
FOODON:02010130-frog	frog leg	FOODON:00002567	frog leg	Exact String Match		2019-04-13T18:15:54Z	https://orcid.org/0000-0002-8844-9165						Frog legs are one of the better-known delicacies of French and Chinese cuisine. The legs of edible frogs are also consumed in other parts of the world, including Vietnam, Thailand, Indonesia, Northern Italy, the Alentejo region of Portugal, Spain, Albania, Slovenia, Romania, the northwest Greece and the Southern regions of the United States.			https://en.wikipedia.org/wiki/Frog_legs			
FOODON:00004242-pig	pork food product	FOODON:00002663	pork food product	Exact String Match		2019-06-14T04:23:35Z	https://orcid.org/0000-0002-8844-9165												
FOODON:02010075-chicken	piece of chicken skin	FOODON:00002673	piece of chicken skin	Exact String Match		2019-06-27T06:16:00Z	https://orcid.org/0000-0002-8844-9165												
FOODON:02010126-chicken	chicken wing	FOODON:00002674	chicken wing	Exact String Match		2019-06-27T06:20:14Z	https://orcid.org/0000-0002-8844-9165												
