DISABLED	ID	parent class	label	Equivalence axiom	Animal (top level class) Equivalence	Subclass axiom	definition	comment	definition source	Exact Synonym	Broad Synonym	created	term contributor	see also	curation status	image	Curation notes	Minimum	Aves	Bovidae	Suina	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Ursidae	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Home sapiens		Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian		Chelicerata	Crustacea	Hexapoda	Other
	ID	SC % SPLIT=|	AL rdfs:label@en		EC %		AL IAO:0000115@en	AL rdfs:comment@en	A IAO:0000119 SPLIT=|	AL oboInOwl:hasExactSynonym@en	AL oboInOwl:hasBroadSynonym@en	AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AI schema:image																																			
	FOODON:00004242	animal food product	{animal} food product				A food product that is derived from some {animal}					2023-08-01T21:25:29Z			ready for release			TRUE	ALL	antelope|beef	ALL																														
	FOODON:03420164	animal material	{animal} material	'animal material' and 'derives from' some '{animal}'	'material anatomical entity' and 'derives from' some 'animal'		A material that derives from some {animal}.					2023-08-01T21:25:29Z			ready for release			TRUE	ALL	antelope|beef	ALL																														
	FOODON:02010001	organism substance	{animal} organism substance	'animal organism substance' and 'derives from' some '{animal}'		'animal material'	Material which is produced by an {animal}.	This includes things like eggs and milk.				2023-08-01T21:25:29Z			ready for release				ALL	beef																															
	FOODON:02010002	{animal} organism substance	{animal} egg	'animal egg' and 'in taxon' some '{taxon}'	'shelled egg' or embryo		An egg which is produced by an oviperous {animal}.					2023-08-01T21:25:29Z			ready for release		EFSA- quail, turkey, duck, hen																																		
	FOODON:02010003	{animal} egg	{animal} roe				A fish roe produced by an {animal}.	For fish only.		fish eggs		2023-08-01T21:25:29Z			ready for release		fish | cod																																		
	FOODON:02010004	{animal} egg	{animal} egg (raw)	'{animal} egg' and 'has quality' some 'raw'			A raw {animal} egg.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010005	animal egg	{animal} shelled egg	'animal shelled egg' and 'in taxon' some '{taxon}'	'animal egg' and 'in taxon' some 'Amniota'				https://ucmp.berkeley.edu/vertebrates/tetrapods/amniota.html			2023-08-01T21:25:29Z			ready for release				turkey|chicken																																
	FOODON:02010006	{animal} shelled egg	{animal} shelled egg (raw)	'{animal} shelled egg' and 'has quality' some 'raw'			A raw {animal} shelled egg.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010007	{animal} organism substance	{animal} albumen	'animal albumen' and 'derives from' some '{animal} shelled egg'	'animal organism substance' and 'derives from' some 'albumen'							2023-08-01T21:25:29Z			ready for release		"hen
Also, change all egg white terms to albumen. like egg white (dried) etc."																																		
