ID	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	comment	Industry IDs	Exact Synonym	see also	created	contributor	curation status	image	term requested by	Mapping to ID_mapping table	Curation notes
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AL rdfs:comment@en		AL oboInOwl:hasExactSynonym@en SPLIT=|	A rdfs:seeAlso SPLIT=|	AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|	AI IAO:0000114	AI schema:image			
																	
FOODON:00004556	piece of cow	cow foot	'animal foot' and 'derives from' some 'cow'		A whole foot that derives from a cow.				cow trotter								
FOODON:03307055	cow foot	cow foot (raw)	'cow foot' and 'has quality' some 'raw'		A whole raw cow foot.												
FOODON:00004557	swine food product	pig foot	'animal foot' and 'derives from' some 'pig'		A whole foot that derives from a pig.												
FOODON:00004558	pig foot	pig foot (raw)	'pig foot' and 'has quality' some 'raw'		A whole raw pig foot.												
		Beef cuts															
FOODON:02000403	piece of cow	piece of beef	'piece of cow' and 'has part' some ('derives from' some 'animal muscle tissue cut')		A piece of animal meat that is derived from cow.												
FOODON:02000405	piece of beef	piece of beef (boneless)	'piece of beef' and not ('has part' some ('derives from' some 'bone element'))		A piece of boneless beef.												
FOODON:02000406	piece of beef (boneless)	piece of beef (cubed)			A piece of boneless beef that has a cubic shape.		Cubed meat should be free from bones, cartilage, lymph glands, and most or all connective tissue and fat.										
FOODON:02000407	piece of beef (cubed)	piece of beef (cubed, raw)	'piece of beef (cubed)' and 'has quality' some 'raw'		A raw cubic piece of beef.												
FOODON:02000408	piece of beef	piece of beef (with bone)	'piece of beef' and 'has part' some ('derives from' some 'bone element')		A piece of beef that contains bone material.												
FOODON:02000409	piece of beef (with bone)	piece of beef (with bone, raw)	'piece of beef (with bone)' and 'has quality' some 'raw'		A raw piece of beef that contains bone material.												
FOODON:02000410	piece of beef (boneless)	piece of beef (deboned)	'piece of beef (boneless)' and 'is specified output of' some 'deboning'		A piece of deboned beef.												
FOODON:02000411	piece of beef (deboned)	piece of beef (mechanically deboned)			A piece of beef that is mechanically deboned by forcing bones, with attached edible meat, under high pressure through a sieve or similar device to separate the bone from the edible meat tissue.												
FOODON:02000420	piece of beef (mechanically deboned)	piece of beef (mechanically deboned, raw)	'piece of beef (mechanically deboned)' and 'has quality' some 'raw'		A raw piece of mechanically deboned beef.												
FOODON:02000412	piece(s) of cow	piece(s) of beef	'has member' some 'piece of beef' and 'has member' only 'piece of beef'		One or more pieces of beef.												
FOODON:02000413	piece(s) of beef	piece(s) of beef (raw)	'piece(s) of beef' and 'has quality' some 'raw'		One or more raw pieces of beef.												
FOODON:02000414	piece(s) of beef	piece(s) of beef (boneless)	'piece(s) of beef' and not ('has part' some ('derives from' some 'bone element')) 		One or more pieces of boneless beef.												
FOODON:00001282	piece(s) of beef	beef (ground)	'piece(s) of beef' and 'is specified output of' some 'food grinding' 		Beef that has been ground.	https://en.wikipedia.org/wiki/Ground_beef											
FOODON:03301886	beef (ground)	beef (ground, raw)	'beef (ground)' and 'has quality' some 'raw'		Raw beef that has been ground.												
FOODON:02000416	piece(s) of beef (boneless)	piece(s) of beef (deboned)	'piece(s) of beef (boneless)' and 'is specified output of' some 'deboning'		One or more pieces of deboned beef.												
FOODON:02000417	piece(s) of beef (deboned)	piece(s) of beef (deboned, raw)	'piece(s) of beef (deboned)' and 'has quality' some 'raw'		One or more raw pieces of deboned beef.												
FOODON:02000418	piece(s) of beef (deboned)	piece(s) of beef (mechanically deboned)			One or more pieces of mechanically deboned beef.												
FOODON:02000419	piece(s) of beef (mechanically deboned)	piece(s) of beef (mechanically deboned, raw)	'piece(s) of beef (mechanically deboned)' and 'has quality' some 'raw'		One or more raw pieces of mechanically deboned beef.												
FOODON:02000421	piece(s) of beef	piece(s) of beef (frozen)	'piece(s) of beef' and 'has quality' some 'frozen'		One or more pieces of frozen beef.												
FOODON:02000422	beef (ground)	beef (ground, fresh frozen)	'beef (ground)' and 'has quality' some 'fresh frozen'		Beef that has been ground and is fresh frozen.												
FOODON:03311831	piece(s) of beef	beef (minced)	'piece(s) of beef' and 'is specified output of' some 'food mincing' 		Beef that has been minced with a blade.												
FOODON:02000425	beef (ground)	beef (ground, lean)			Beef that is ground and lean.												
FOODON:02000426	beef (ground)	beef (ground, extra lean)			Beef that is ground and extra lean.												
FOODON:02000427	beef (ground)	beef (ground, medium)			Beef that is medium ground.												
FOODON:02000428	beef (ground)	beef (ground, regular)			Beef that is ground and regular.												
FOODON:02000429	beef (ground)	beef (ground, sirloin)			Beef that comes from sirloin region and is ground.												
FOODON:00002574	piece of beef	butchery cut of beef			A cut of beef that is a primal, sub-primal or retail cut.							https://orcid.org/0000-0001-5275-8866					
FOODON:02000415	butchery cut of beef	butchery cut of beef (raw)	'butchery cut of beef' and 'has quality' some 'raw'		A raw butchery cut of beef.							https://orcid.org/0000-0001-5275-8866					
FOODON:00004470	butchery cut of beef	beef primal cut			A cut of beef that is initially separated from the carcass of a{n} {organism} during butchering.							https://orcid.org/0000-0001-5275-8866					
FOODON:02000463	beef primal cut	beef primal cut (raw)	'beef primal cut' and 'has quality' some 'raw'		A raw beef primal cut.												
FOODON:00004476	butchery cut of beef	beef sub-primal cut			A smaller cut of beef that is obtained from the larger primal cut of beef.							https://orcid.org/0000-0001-5275-8866					
FOODON:02000464	beef sub-primal cut	beef sub-primal cut (raw)	'beef sub-primal cut' and 'has quality' some 'raw'		A raw beef sub-primal cut.												
FOODON:00004478	butchery cut of beef	beef retail cut			A cut of beef that is derived from a sub-primal, individual muscle cut or minor primal cut.							https://orcid.org/0000-0001-5275-8866					
FOODON:02000465	beef retail cut	beef retail cut (raw)	'beef retail cut' and 'has quality' some 'raw'		A raw beef retail cut.												
																	
		Beef Primal cut- Round															
FOODON:02000000	beef primal cut	beef round		'derives from' some 'cow processed carcass'	A beef cut that comes from the 'round', the rear leg of the beef.	https://www.beefitswhatsfordinner.com/cuts/cut/2949/round-primal	Sometimes referred to as the “Beef Hip.”	IMPS/NAMP - 158		https://www.ams.usda.gov/sites/default/files/media/IMPS100SeriesDraft2020.pdf	2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000001	beef round	beef round (raw)	'beef round' and 'has quality' some 'raw'		A raw beef round cut.						2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000002	beef sub-primal cut	beef bottom round		'derives from' some 'beef round'	A beef cut that comes from the outside of the rear leg.	https://www.beefitswhatsfordinner.com/cuts/cut/2790/bottom-round-gooseneck	Given the name “Bottom” because anatomically it is located below the Top Round and the Eye of Round in the Round primal.	IMPS/NAMP - 170	outside round	https://www.ams.usda.gov/sites/default/files/media/IMPS100SeriesDraft2020.pdf	2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000003	beef bottom round	beef bottom round (raw)	'beef bottom round' and 'has quality' some 'raw'		A raw beef bottom round cut.						2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000004	beef steak	beef bottom round steak	'beef steak' and 'derives from' some 'beef bottom round'		A steak cut from the beef bottom round.	https://www.beefitswhatsfordinner.com/cuts/cut/2439/bottom-round-roast	Steak derived from the Bottom Round Flat, also known as an Outside Round.	IMPS/NAMP - 1170A|UPC - 1466		https://www.ams.usda.gov/sites/default/files/media/IMPS100SeriesDraft2020.pdf	2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000005	beef bottom round steak	beef bottom round steak (raw)	'beef bottom round steak' and 'has quality' some 'raw'		A raw beef bottom round steak.						2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000006	beef bottom round steak	beef bottom round steak (boneless)	'beef bottom round steak' and not ('has part' some ('derives from' some 'bone element'))		A boneless beef bottom round steak.						2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000007	beef bottom round steak (boneless)	beef bottom round steak (boneless, raw)	'beef bottom round steak (boneless)' and 'has quality' some 'raw'		A raw and boneless beef bottom round steak.						2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000008	beef roast	beef bottom round roast	'beef roast' and 'derives from' some 'beef bottom round'		A roast cut from the beef bottom round.	https://www.beefitswhatsfordinner.com/cuts/cut/2439/bottom-round-roast|	Roast derived from the Bottom Round Flat, also known as an Outside Round.	UPC - 1464		https://www.ams.usda.gov/sites/default/files/media/IMPS100SeriesDraft2020.pdf	2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
FOODON:02000009	beef bottom round roast	beef bottom round roast (raw)	'beef bottom round roast' and 'has quality' some 'raw'		A raw beef bottom round roast.						2023-08-01T21:30:23Z	https://orcid.org/0000-0001-5275-8866	ready for release				
