Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	created	term editor	Exact Synonym	Related synonym	Broad Synonym	Narrow Synonym	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes	term requested
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|		AT dcterms:date^^xsd:dateTime	AT IAO:0000117^^rdfs:anyURI SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image		
FOODON:00002473	pome fruit	apple (whole)	'pome fruit' and ('in taxon' some 'Malus domestica' and 'in taxon' only 'Malus domestica')		Malus domestica	A pome fruit of an apple tree (Malus domestica).				http://orcid.org/0000-0002-8844-9165										apple	https://www-atlasobscura-com.cdn.ampproject.org/c/s/www.atlasobscura.com/articles/heritage-appalachian-apples.amp	IAO:0000122	A whole apple may include a stem.			
FOODON:00002560	apple (whole)	Red Delicious apple (whole)	'apple (whole)' and ('in taxon' some 'Red Delicious apple tree' and 'in taxon' only 'Red Delicious apple tree')			A pome fruit of a Red Deliciousapple tree cultivar.	https://en.wikipedia.org/wiki/Red_Delicious		2019-04-13T17:08:41																	
FOODON:00004201	Red Delicious apple (whole)	Red Delicious apple (whole, raw)	'Red Delicious apple (whole)' and 'fruit (raw)'			A raw Red Delicious apple.	https://en.wikipedia.org/wiki/Red_Delicious		2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165																
FOODON:00002862	apple (whole)	Fuji apple (whole)	'apple (whole)' and ('in taxon' some 'Fuji apple tree' and 'in taxon' only 'Fuji apple tree')			A pome fruit of a Fuji apple tree cultivar.	https://en.wikipedia.org/wiki/Fuji_(apple)		2019-08-07T20:37:28		fiji apple															
FOODON:00004205	Fuji apple (whole)	Fuji apple (whole, raw)				A whole raw Fuji apple.	https://en.wikipedia.org/wiki/Fuji_(apple)		2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165																
FOODON:00003348	apple (whole)	Gala apple (whole)				A pome fruit of a Gala apple tree cultivar.	https://en.wikipedia.org/wiki/Gala_(apple)		2020-06-06T00:48:34		gala apple															
FOODON:00004204	Gala apple (whole)	Gala apple (whole, raw)				A whole raw Gala apple.	https://en.wikipedia.org/wiki/Gala_(apple)		2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165																
FOODON:00002853	apple (whole)	Granny Smith apple (whole)	'apple (whole)' and ('in taxon' some 'Granny Smith apple tree' and 'in taxon' only 'Granny Smith apple tree')			A pome fruit of a Granny Smith apple tree cultivar.	https://en.wikipedia.org/wiki/Granny_Smith		2019-08-07T19:34:52		granny smith apple															
FOODON:00004206	Granny Smith apple (whole)	Granny Smith apple (whole, raw)				A whole raw Granny Smith apple.	https://en.wikipedia.org/wiki/Granny_Smith		2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165																
FOODON:00004202	apple (whole)	Golden Delicious apple (whole)				A pome fruit of a Golden Delicious apple tree cultivar.	https://en.wikipedia.org/wiki/Golden_Delicious		2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165																
FOODON:00004203	Golden Delicious apple (whole)	Golden Delicious apple (whole, raw)				A whole raw Golden Delicious apple.	https://en.wikipedia.org/wiki/Golden_Delicious		2022-02-17T19:34:52	https://orcid.org/0000-0002-8844-9165	golden delicious apple															
																										
FOODON:00002775	seed	bambara groundnut (whole)	'seed' and ('in taxon' some 'Vigna subterranea' and 'in taxon' only 'Vigna subterranea')		Vigna subterranea	A seed of a bambara groundnut plant (Vigna subterranea).	https://en.wikipedia.org/wiki/Vigna_subterranea		2019-07-09T17:59:28	http://orcid.org/0000-0002-8844-9165	bambara groundnut | ground-bean | hog-peanut											IAO:0000122				
FOODON:03316257	berry fruit	Cavendish banana (whole)	'berry fruit' and ('in taxon' some 'Musa acuminata AAA Group' and 'in taxon' only 'Musa acuminata AAA Group')		Musa acuminata AAA Group	A berry fruit of a banana tree (Musa acuminata AAA Group).				http://orcid.org/0000-0002-8844-9165	banana											IAO:0000122				
FOODON:00003394	caryopsis fruit	barley seed (whole)	'caryopsis fruit' and 'in taxon' some 'Hordeum vulgare subsp. vulgare'		Hordeum vulgare subsp. vulgare	A caryopsis fruit of a barley plant (Hordeum vulgare subsp. vulgare).			2020-09-06T15:28:35	http://orcid.org/0000-0002-8844-9165	barley seed											IAO:0000122				
FOODON:03317254	primary root	beetroot (whole)	'primary root' and ('in taxon' some 'Beta vulgaris' and 'in taxon' only 'Beta vulgaris')		Beta vulgaris	A primary root of a commonbeet plant (Beta vulgaris).				http://orcid.org/0000-0002-8844-9165	beetroot|beet											IAO:0000122				
FOODON:00003131	whole wheat kernel	common wheat kernel	'caryopsis fruit' and ('in taxon' some 'Triticum aestivum' and 'in taxon' only 'Triticum aestivum')		Triticum aestivum	A caryopsis fruit of a common wheat plant (Triticum aestivum).	https://en.wikipedia.org/wiki/Common_wheat		2019-08-25T16:34:00	http://orcid.org/0000-0002-8844-9165	bread wheat kernel|bread wheat											IAO:0000122	About 95% of wheat produced worldwide is common wheat.			
FOODON:00003405	raceme inflorescence	broccoli floret (whole)	'raceme inflorescence' and 'in taxon' some 'Brassica oleracea var. italica'		Brassica oleracea var. italica	A raceme inflorescence of a broccoli plant(Brassica oleracea var. italica).			2020-09-09T07:15:35	http://orcid.org/0000-0002-8844-9165	broccoli											IAO:0000122				
FOODON:03311885	axillary bud	brussels sprout (whole)	'axillary bud' and 'in taxon' some 'Brassica oleracea var. gemmifera'		Brassica oleracea var. gemmifera	An axillary bud of the brussels sprout plant (Brassica oleracea var. gemmifera).				http://orcid.org/0000-0002-8844-9165	brussels sprouts											IAO:0000122				
FOODON:00003407	seed	rapeseed (whole)	'seed' and 'in taxon' some 'Brassica napus var. napus'		Brassica napus var. napus	A seed of a rapseed plant (Brassica napus var. napus).			2020-09-09T07:24:31	http://orcid.org/0000-0002-8844-9165	rapeseed											IAO:0000122				
FOODON:00003408	primary root	carrot root (whole)	'primary root' and ('in taxon' some 'Daucus carota' and 'in taxon' only 'Daucus carota')		Daucus carota	A primary root of a carrot plant (Daucus carota).			2020-09-09T07:27:10	http://orcid.org/0000-0002-8844-9165	carrot											IAO:0000122				
FOODON:00003409	tuberous root tuber	cassava (whole)	'tuberous root' and ('in taxon' some 'Manihot esculenta' and 'in taxon' only 'Manihot esculenta')		Manihot esculenta	A tuberous root tuber of a cassava plant (Manihot esculenta).			2020-09-09T07:33:05	http://orcid.org/0000-0002-8844-9165	cassava | yucca root											IAO:0000122				
FOODON:00003410	raceme inflorescence	cauliflower floret (whole)	'raceme inflorescence' and 'in taxon' some 'Brassica oleracea var. botrytis'		Brassica oleracea var. botrytis	A raceme inflorescence of a cauliflower plant (Brassica oleracea var. botrytis).			2020-09-09T07:39:07	http://orcid.org/0000-0002-8844-9165	cauliflower											IAO:0000122				
FOODON:00003411	petiole	celery stalk (whole)	'petiole' and ('in taxon' some 'Apium graveolens Dulce Group' and 'in taxon' only 'Apium graveolens Dulce Group')		Apium graveolens Dulce Group	A petiole of a celery plant (Apium graveolens Dulce Group).			2020-09-09T07:43:45	http://orcid.org/0000-0002-8844-9165	celery stalk											IAO:0000122				
FOODON:00003413	drupe fruit	sweet cherry (whole)	'drupe fruit' and ('in taxon' some 'Prunus avium' and 'in taxon' only 'Prunus avium')		Prunus avium	A drupe fruit of a sweet cherry plant (Prunus avium).			2020-09-09T07:48:03	http://orcid.org/0000-0002-8844-9165	sweet cherry											IAO:0000122				
FOODON:03306811	seed	chickpea (whole)	'seed' and ('in taxon' some 'Cicer arietinum' and 'in taxon' only 'Cicer arietinum')		Cicer arietinum	A seed of a chickpea plant (Cicer arietinum).	https://en.wikipedia.org/wiki/Chickpea			http://orcid.org/0000-0002-8844-9165	chickpea|chick pea | garbanzo | garbanzo bean | garbanzo bean (whole)											IAO:0000122				
FOODON:00003449	drupe fruit	coconut (whole)	'drupe fruit' and ('in taxon' some 'Cocos nucifera' and 'in taxon' only 'Cocos nucifera')		Cocos nucifera	A drupe fruit of a coconut palm tree (Cocos nucifera).			2020-09-10T05:53:54	http://orcid.org/0000-0002-8844-9165	coconut											IAO:0000122				
FOODON:00003856		coconut meat				The white, fleshy part of a coconut.																				
FOODON:00004256		coconut meat (raw)				Coconut meat which is raw.																				
