ingredient	foodon_id	foodon_label	string_score
agar	CHEBI:2509	agar	100
almond	FOODON:03301355	almond	100
anthocyanin	CHEBI:38697	anthocyanin	100
apple	FOODON:03301710	apple	100
apricot	FOODON:03301701	apricot	100
baking soda	FOODON:00002385	baking soda	100
banana	FOODON:00004183	banana	100
beet sugar	FOODON:03315024	beet sugar	100
berry	FOODON:03306893	berry	100
beta-carotene	CHEBI:17579	beta-carotene	100
black currant	FOODON:03311604	black currant	100
blackberry	FOODON:03301236	blackberry	100
blueberry	FOODON:03302045	blueberry	100
brown sugar	FOODON:03420156	brown sugar	100
calcium carbonate	CHEBI:3311	calcium carbonate	100
calcium citrate	CHEBI:190513	calcium citrate	100
calcium lactate	FOODON:03413044	calcium lactate	100
calcium phosphate	CHEBI:77635	calcium phosphate	100
cane sugar	FOODON:03301348	cane sugar	100
caramel	FOODON:03317034	caramel	100
carnauba wax	FOODON:03413061	carnauba wax	100
carotene	CHEBI:23042	carotene	100
carrageenan	CHEBI:3435	carrageenan	100
cherry	FOODON:00003478	cherry	100
cinnamon	FOODON:03301175	cinnamon	100
citric acid	CHEBI:30769	citric acid	100
cocoa	FOODON:03301072	cocoa	100
cocoa butter	FOODON:03301332	cocoa butter	100
cocoa mass	FOODON:03316704	cocoa mass	100
coconut	FOODON:00003449	coconut	100
coconut cream	FOODON:03303088	coconut cream	100
coconut milk	FOODON:03303084	coconut milk	100
coconut oil	FOODON:03310046	coconut oil	100
coconut water	FOODON:00005449	coconut water	100
cookie	FOODON:03301585	cookie	100
corn flour	FOODON:03302500	corn flour	100
corn syrup	FOODON:03301061	corn syrup	100
cranberry	FOODON:00003657	cranberry	100
dark chocolate	FOODON:03303588	dark chocolate	100
dextrose	FOODON:03315177	dextrose	100
elderberry	FOODON:00003678	elderberry	100
folic acid	CHEBI:27470	folic acid	100
fructose	CHEBI:28757	fructose	100
fruit	PO:0009001	fruit	100
gelatin	CHEBI:5291	gelatin	100
gellan gum	CHEBI:85248	gellan gum	100
glucose	CHEBI:17234	glucose	100
grape	FOODON:00003417	grape	100
grapefruit	FOODON:00003554	grapefruit	100
greek yogurt	FOODON:00004409	greek yogurt	100
guar gum	FOODON:03413114	guar gum	100
gum	CDNO:0000031	gum	100
gum arabic	FOODON:03412975	gum arabic	100
honey	UBERON:0036016	honey	100
inulin	CHEBI:15443	inulin	100
kiwi	FOODON:03414363	kiwi	100
lactose	CHEBI:17716	lactose	100
lecithin	CHEBI:61995	lecithin	100
lemon	FOODON:03315104	lemon	100
lime	FOODON:00003661	lime	100
locust bean gum	FOODON:03413132	locust bean gum	100
malic acid	CHEBI:6650	malic acid	100
malt syrup	FOODON:00005587	malt syrup	100
maltodextrin	CHEBI:25140	maltodextrin	100
mango	FOODON:00003538	mango	100
maple syrup	FOODON:03301848	maple syrup	100
milk	UBERON:0001913	milk	100
milk chocolate	FOODON:03302806	milk chocolate	100
molasses	CHEBI:83163	molasses	100
nectarine	FOODON:00003585	nectarine	100
oat	FOODON:00003429	oat	100
oat bran	FOODON:00003774	oat bran	100
palm oil	FOODON:03310232	palm oil	100
passion fruit	FOODON:00003675	passion fruit	100
peach	FOODON:03315502	peach	100
pear	FOODON:00003041	pear	100
pectin	CHEBI:17309	pectin	100
phosphate	CHEBI:26020	phosphate	100
pineapple	FOODON:00003459	pineapple	100
polyglycerol polyricinoleate	FOODON:03413190	polyglycerol polyricinoleate	100
pomegranate	FOODON:00003679	pomegranate	100
potassium sorbate	CHEBI:77868	potassium sorbate	100
potato starch	FOODON:03307543	potato starch	100
prune	FOODON:00003537	prune	100
pumpkin	FOODON:00003486	pumpkin	100
raspberry	FOODON:00003433	raspberry	100
riboflavin	CHEBI:17015	riboflavin	100
rice	FOODON:00004327	rice	100
rice flour	FOODON:00002207	rice flour	100
rice starch	FOODON:03310073	rice starch	100
rice syrup	FOODON:03307722	rice syrup	100
rolled oats	FOODON:03307110	rolled oats	100
salt	CHEBI:24866	salt	100
sheep milk	FOODON:02021254	sheep milk	100
sodium citrate	CHEBI:53258	sodium citrate	100
sodium lactate	CHEBI:75228	sodium lactate	100
spirulina	FOODON:03412039	spirulina	100
squash	FOODON:00003539	squash	100
strawberry	FOODON:00003443	strawberry	100
sucralose	CHEBI:32159	sucralose	100
sugar	FOODON:03420108	sugar	100
tapioca flour	FOODON:03310681	tapioca flour	100
tartrazine	CHEBI:9405	tartrazine	100
titanium dioxide	CHEBI:32234	titanium dioxide	100
tricalcium citrate	FOODON:03413312	tricalcium citrate	100
tripotassium phosphate	FOODON:03413316	tripotassium phosphate	100
trisodium phosphate	CHEBI:37583	trisodium phosphate	100
tropical fruit	FOODON:00003567	tropical fruit	100
vanilla bean	FOODON:00003738	vanilla bean	100
vegetable oil	FOODON:03305263	vegetable oil	100
water	CHEBI:15377	water	100
watermelon	FOODON:00003673	watermelon	100
wheat bran	FOODON:03304608	wheat bran	100
xanthan gum	FOODON:03413321	xanthan gum	100
pottassium sorbate	CHEBI:77868	potassium sorbate	97.14285714
locustbean gum	FOODON:03413132	locust bean gum	96.55172414
allura red	FOODON:03412985	allura red ac	95
dark sweet cherry	FOODON:00003413	sweet cherry	95
nonfat milk	FOODON:03301657	nonfat dry milk	95
red cabbage	FOODON:00002922	red cabbage head	95
safflower	FOODON:03302780	safflower oil	95
sugar cane	FOODON:03301348	cane sugar	95
vegetable fat	FOODON:03307607	vegetable fat shake	95
wheat flour	FOODON:03304482	wheat feed flour	95
whole milk	FOODON:00005478	cow whole milk	95
ammonium bicarbonate	FOODON:03412997	ammonium carbonate	94.73684211
disodium phosphate	FOODON:03413086	disodium diphosphate	94.73684211
sodium tartrate	CHEBI:63017	sodium L-tartrate	93.75
morello cherry	FOODON:00004212	Morello cherry	92.85714286
tricalcium phosphate	FOODON:03413076	dicalcium phosphate	92.30769231
trisodium citrate	FOODON:03413085	disodium citrate	90.90909091
vitamin b12	CHEBI:176843	vitamin B12	90.90909091
acacia gum	FOODON:03306239	acacia gum mediated flavoring extract (spray-dried)	90
agave syrup	FOODON:00005198	agave	90
almond base	FOODON:00003523	almond	90
almonds	FOODON:03541120	11200 - almonds (efsa foodex2)	90
amaranth	FOODON:03415105	red amaranth plant	90
annatto	FOODON:03000015	annatto seed	90
artificial	FOODON:03530148	cheese rind (artificial)	90
bean	FOODON:03413400	jack-bean plant	90
beet	FOODON:03306696	beet (raw)	90
black cherry	FOODON:03412479	black cherry plant	90
blackcurrant	FOODON:03544205	42050 - blackcurrant flavour (efsa foodex2)	90
yogurt	FOODON:00003889	food (blend)	90
brilliant blue fcf	PATO:0000318	blue	90
buckwheat	FOODON:00005347	buckwheat groat	90
calcium	FOODON:03413024	calcium  hydrogen carbonate	90
calcium chloride	CHEBI:17996	chloride	90
calcium salts of fatty acids	FOODON:03413278	sodium, potassium and calcium salts of fatty acids	90
cardamom	FOODON:00002925	black cardamom pod	90
carrot	FOODON:03301570	carrot root (raw)	90
carrot pumpkin apple	FOODON:00003486	pumpkin	90
chicory root	FOODON:03000037	chicory root (raw)	90
chicory root inulin	CHEBI:15443	inulin	90
coconut base	FOODON:00003449	coconut	90
coffee	FOODON:03303109	imitation coffee substitute	90
corn	FOODON:03301422	sweet corn kernel (raw)	90
corn starch	FOODON:03317364	corn starch hydrolyzate	90
cream	FOODON:03420160	mammalian light cream (18%-30%)	90
creme	FOODON:03311471	marshmallow creme	90
crunchy cocoa rice	FOODON:03301072	cocoa	90
culture	FOODON:03311651	bubod starter culture	90
d	FOODON:03413770	d-biotin	90
eggs	FOODON:03400718	28  eggs (efg)	90
