type	Ontology ID	NTR	label	parent	term	MIFC	definition	definition source	comment	example of use	EquivalentTo	SubClassOf	has specified input	has specified output	has characteristic	see also IRI	term contributor	curation status	created
	ID		AL rdfs:label@en	SC % SPLIT=|			AL IAO:0000115@en	AI IAO:0000119	AL rdfs:comment@en		EC %		SC 'has specified input' some % SPLIT=|	SC 'has specified output' some % SPLIT=|	SC 'has characteristic' some % SPLIT=|	AI rdfs:seeAlso SPLIT=|	AI dcterms:contributor SPLIT=|	A IAO:0000114	AT dcterms:date^^xsd:dateTime
1	http://purl.obolibrary.org/obo/FOODON_00002470		food characteristic	physical object quality	food characteristic		A physical object quality which is born by food material.												
																			
				Parent term	FoodOn Term	MIFC	Definition												
1	FOODON:00004348		raw	organismal quality	raw	☑	A characteristic of organism material which has a biochemical composition that closely resembles its harvested or subsequent biologically aged state.		The definition covers plant, animal and fungi material, and allows for drying before harvest, and allows for cleaning, cutting, storing or trimming after harvest as long as harvested biological state is maintained.										
1	FOODON:03000493	NTR	raw (not intact)	organismal quality	raw (not intact)		A characteristic of organism material which has undergone comminution or meat tenderizing, but which is otherwise unprocessed.	https://www.fsis.usda.gov/sites/default/files/import/Product-Categorization.pdf	"This is a peer of ""raw"", intended to catch the case where a material maintains nutritional characteristics despite certain kinds of processing which may affect other characteristics related to food safety, taste, etc."										
2	FOODON:03311126		food (raw)	food material by characteristic	food (raw)		Food material which is raw.												
1	FOODON:00004722		fresh	raw	fresh	☑	A characteristic of raw organism material which has not undergone significant deterioration or spoilage, and which has not been subjected to drying or freezing.									https://inspection.canada.ca/en/food-labels/labelling/industry/composition-and-quality#s10c3			
2	FOODON:00002457		food (fresh)	food (raw)	food (fresh)		Raw food which is fresh.												
1	PATO:0001432		decayed	viability	decayed		A quality inhering in a bearer by virtue of the bearer's decomposition into component parts.		This also allows for chemical synthesis resulting from decomposition products.										
																			
				Parent term	FoodOn Term	MIFC	Definition												
2	ENVO:01001690		mass of liquid	mass of fluid	mass of liquid	liquid	An object which is composed primarily of a liquid.												
2	FOODON:03430130		food (liquid)	food material by characteristic|mass of liquid	food (liquid)		A state of matter between a solid and a gas, in which a substance has the capacity to flow and conforms to the shape of a container.												
2	FOODON:03430102		liquid, higher viscosity	mass of liquid	liquid, higher viscosity	viscous liquid	A liquid that flows slowly at room temperature.		Destined for PATO										
2	FOODON:03430109		liquid, lower viscosity	mass of liquid	liquid, lower viscosity		A liquid that flows very easily at room temperature.		Destined for PATO										
1	PATO:0001548		quality of a liquid	quality of a substance	quality of a liquid		A physical quality inhering in an entity exhibiting the physical characteristics of an amorphous (non-crystalline) form of matter between a gas and a solid that has a definite volume, but no definite shape.												
1	PATO:0000998		viscous	viscosity	viscous		A viscosity quality inhering in a bearer by virtue of the bearer's having viscosity.												
