Ontology ID	label	cross reference IRI	synonym	English Exact syn	narrow synonym	Broad Synonym	Related synonym	British english syn.	Italian Exact syn.	French Exact syn.	german Exact syn.	spanish Exact syn.	portuguese Exact syn.	term contributor
ID		AI oboInOwl:hasDbXref SPLIT=|	AL oboInOwl:hasSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	AI dcterms:contributor SPLIT=|
FOODON:03460238	food component separation	langual:H0238												https://orcid.org/0000-0002-8844-9165
FOODON:03460225	food material combination	langual:H0225												https://orcid.org/0000-0002-8844-9165
FOODON:00001304	food fermentation					fermentation								https://orcid.org/0000-0002-8844-9165
FOODON:00002722	corn husking			husking										https://orcid.org/0000-0002-8844-9165
FOODON:00002648	food scalding			scalding										https://orcid.org/0000-0002-8844-9165
FOODON:00002732	food seasoning process			seasoning										https://orcid.org/0000-0002-8844-9165
FOODON:00002814	ikajime			Ikijime|活き締め|活け締め										https://orcid.org/0000-0002-8844-9165
FOODON:00003215	winterization of oil			fractionate crystallization										
FOODON:00003307	shell removal process			shelling|shelling process										
FOODON:00005709	food heating	langual:G0002												
FOODON:03450004	cooking by dry heat	langual:G0004	dry cooked											
FOODON:03450005	food baking	langual:G0005	roasting											https://orcid.org/0000-0002-8844-9165
FOODON:03450006	broiling or grilling	langual:G0006			barbecuing|broiling|grilling									
FOODON:03450007	charcoal broiling	langual:G0007												
FOODON:03450008	griddle cooking	langual:G0008												
FOODON:03450009	cooked by popping	langual:G0009												
FOODON:03450010	food toasting	langual:G0010												
FOODON:03450011	cooking by microwave	langual:G0011												
FOODON:03450012	cooking by moist heat	langual:G0012												
FOODON:03450013	cooking in water or water-based liquid	langual:G0013												
FOODON:03450014	boiling in container	langual:G0014												
FOODON:03450015	boiling and then draining	langual:G0015												
FOODON:03450016	boiling in large amount of liquid	langual:G0016												
FOODON:03450017	boiling in small amount of liquid	langual:G0017												
FOODON:03450018	boiling without draining	langual:G0018												
FOODON:03450019	cooking by braising	langual:G0019												
FOODON:03450020	cooking by simmering	langual:G0020	poaching|stewing											
FOODON:03450021	cooking in steam	langual:G0021												
FOODON:03450022	steaming with pressure	langual:G0022	pressure-cooked											
FOODON:03450023	steaming without pressure	langual:G0023												
FOODON:03450024	cooking with fat or oil	langual:G0024	frying											
FOODON:03450025	cooking with added fat or oil	langual:G0025	oil roasted											
FOODON:03450026	cooking in small amount of fat or oil	langual:G0026												
FOODON:03450027	sautéing	langual:G0027		sauteing										
FOODON:03450028	stir-frying	langual:G0028												
FOODON:03450029	deep-frying process	langual:G0029		deep-frying										
FOODON:03450030	cooking with inherent fat or oil	langual:G0030												
FOODON:03450032	heating container	langual:G0032												
FOODON:03450033	heating container in double boiler	langual:G0033	cooked over boiling water|double boiler cooked											
FOODON:03450034	heating container by water bath	langual:G0034	bain-marie cooked											
FOODON:03450031	heating container by immersion in water or steam	langual:G0031												
FOODON:03450035	shallow frying process	langual:G0035		shallow frying										
FOODON:03450036	steeping	langual:G0036												
FOODON:03450037	food reheating	langual:G0037												
FOODON:03450038	food reheating by microwave	langual:G0038												
FOODON:03450039	food reheating by dry heat	langual:G0039												
FOODON:03450040	food reheating by boil-in-bag	langual:G0040												
FOODON:03450041	food reheating in pan or cooking utensil	langual:G0041												
FOODON:03450043	double steaming	langual:G0043	double boiling											
FOODON:03450044	rotisserie roasting	langual:G0044												
FOODON:03450045	searing	langual:G0045			pan searing									
FOODON:03450046	blind baking	langual:G0046												
FOODON:03450047	pressure frying process	langual:G0047		pressure frying										
FOODON:03460101	lactic acid fermentation	langual:H0101	cultured|pickled by fermentation											
FOODON:03460102	proteolytic fermentation	langual:H0102												
FOODON:03460103	component substitution process	langual:H0103												
FOODON:03460106	food noncertified color addition process	langual:H0106												
FOODON:03460107	lactic acid-other agent fermentation	langual:H0107												
FOODON:03460109	artificial carbonation process	langual:H0109												
FOODON:03460111	food treatment process	langual:H0111												
